Metric,Portfolio,Market_Benchmark
Daily Mean Return,-0.0004734779211021102,-0.006547900325141065
Daily Std Dev,0.04832464566331612,0.04074375954894847
Annualized Return,-0.11931643611773177,-1.6500708819355483
Annualized Volatility,0.7671299677227025,0.6467871314659851
Sharpe Ratio,-0.1555361426850966,-2.551180754316425
