Feature,Importance
MOMENTUM_SCORE,0.3929098731227848
SIZE_SCORE,0.2589956906832157
AMIHUD_SCORE,0.19891899912665706
Beta_CSMB,0.05904875758879584
Beta_R_MKT,0.04798510042648504
Beta_CMH,0.02560475173712764
Beta_CIHML,0.01653682731493386
