date,index_value
2025-09-12,254.63
2025-09-13,259.04
2025-09-14,258.77
2025-09-15,256.24
2025-09-16,254.86
2025-09-17,257.63
2025-09-18,259.26
2025-09-19,260.44
2025-09-20,255.92
2025-09-21,256.65
2025-09-22,255.24
2025-09-23,246.87
2025-09-24,245.12
2025-09-25,247.43
2025-09-26,235.56
2025-09-27,239.18
2025-09-28,239.15
2025-09-29,244.97
2025-09-30,249.28
2025-10-01,247.58
2025-10-02,258.04
2025-10-03,263.96
2025-10-04,267.58
2025-10-05,266.27
2025-10-06,268.24
2025-10-07,272.78
2025-10-08,264.89
2025-10-09,269.19
2025-10-10,263.86
2025-10-11,238.41
2025-10-12,234.74
2025-10-13,248.75
2025-10-14,250.87
2025-10-15,244.59
2025-10-16,238.42
2025-10-17,232.42
2025-10-18,228.08
2025-10-19,230.58
2025-10-20,233.25
2025-10-21,237.5
2025-10-22,231.97
2025-10-23,229.89
2025-10-24,235.35
2025-10-25,237.98
2025-10-26,239.59
2025-10-27,246.79
2025-10-28,245.38
2025-10-29,241.53
2025-10-30,236.6
2025-10-31,231.43
2025-11-01,234.3
2025-11-02,235.38
2025-11-03,236.35
2025-11-04,224.06
2025-11-05,212.18
2025-11-06,218.42
2025-11-07,212.47
2025-11-08,218.66
2025-11-09,216.36
2025-11-10,222.27
2025-11-11,224.93
2025-11-12,217.23
2025-11-13,215.06
2025-11-14,209.13
2025-11-15,199.9
2025-11-16,202.38
2025-11-17,199.27
2025-11-18,194.59
2025-11-19,197.83
2025-11-20,193.65
2025-11-21,183.6
2025-11-22,179.59
2025-11-23,178.93
2025-11-24,183.12
2025-11-25,188.18
2025-11-26,186.83
2025-11-27,192.76
2025-11-28,193.67
2025-11-29,192.78
2025-11-30,192.09
2025-12-01,191.03
