date,id,symbol,EX_RETURN,log_return,SIZE_SCORE,MOMENTUM_SCORE,AMIHUD_SCORE,VOLATILITY_SCORE,DAILY_MOMENTUM,DAILY_AMIHUD,R_MKT
2025-07-10,5994,SHIB,0.04396140045041185,0.04396140045041185,6987006699.763113,-0.004255798702015904,1.8777851738720892e-10,0.03395007264784104,-0.00048349691037965424,1.840693066490335e-10,0.027458008104372576
2025-07-10,11419,TON,0.012747208207536725,0.012747208207536725,6919350066.918801,-0.006349056089302175,1.1308086574326526e-10,0.028063401629110214,-0.0034023143194552206,1.0638252544368142e-10,0.027458008104372576
2025-07-10,20947,SUI,0.058834926102838137,0.058834926102838137,10010731430.185766,-0.006650505756430037,3.635284285574087e-11,0.05192281982317039,-0.008501750876113823,2.0059132479686586e-11,0.027458008104372576
2025-07-10,32196,HYPE,0.04921187209435406,0.04921187209435406,12978766900.093632,-0.002889510183032417,1.0105701734041437e-10,0.04594191207785604,-0.006668264847298484,9.031610923297795e-11,0.027458008104372576
2025-07-11,1,BTC,0.04120861993953359,0.04120861993953359,2213797700000.1655,0.0008488168662459187,2.1654814828870451e-13,0.015365725621198404,0.005986483088851654,2.345507368821436e-13,0.0446994376695484
2025-07-11,2,LTC,0.0444467081469503,0.0444467081469503,6896872223.495868,-0.0003520491132150766,3.945576260882176e-11,0.025777460243112272,0.00860088923156392,5.225184968241807e-11,0.0446994376695484
2025-07-11,52,XRP,0.05690916591115347,0.05690916591115347,142090317947.82318,0.002057803083258082,4.932707112158912e-12,0.02666623056220637,0.015959899657339866,4.415944325868294e-12,0.0446994376695484
2025-07-11,74,DOGE,0.07484419721511484,0.07484419721511484,27114947541.984966,-0.002346270019822987,2.9207359880321166e-11,0.04076568462049402,0.020810406405287446,2.4508402487210162e-11,0.0446994376695484
2025-07-11,512,XLM,0.0510920423543167,0.0510920423543167,8921865039.295717,0.001348354169470495,1.4580957911248207e-10,0.04043304116107023,0.038126453855023265,1.253459378729147e-10,0.0446994376695484
2025-07-11,1027,ETH,0.06304824935900834,0.06304824935900834,334430433146.2996,-3.1788011932350054e-05,1.2677009019339594e-12,0.03526010907586979,0.019864877799289627,1.5011734152974577e-12,0.0446994376695484
2025-07-11,1437,ZEC,0.02589821563556002,0.02589821563556002,685981473.1676658,-0.007168819851767578,4.4931608738088263e-10,0.0483799511735461,0.00420876363380186,7.389756161531083e-10,0.0446994376695484
2025-07-11,1831,BCH,0.006519169265821112,0.006519169265821112,10244913927.46222,0.0065236670817724685,4.3082391053992914e-11,0.02638758740644079,0.012306668033535612,3.910575767762401e-11,0.0446994376695484
2025-07-11,1839,BNB,0.024283656452845512,0.024283656452845512,94271730920.60065,7.944385751865892e-05,4.92602568834048e-12,0.014218143509684766,0.004666945828270914,3.304053420574714e-12,0.0446994376695484
2025-07-11,1958,TRX,0.013273494790450263,0.013273494790450263,27478328474.88723,0.0013276707778824383,2.1166349149481426e-11,0.013331410219685282,0.005188347482416605,1.2099631706677905e-11,0.0446994376695484
2025-07-11,1975,LINK,0.06693820551394741,0.06693820551394741,9665278850.675291,-0.001606384042808395,6.200947697069602e-11,0.0370890375023987,0.015819329940805694,5.972493728731479e-11,0.0446994376695484
2025-07-11,2010,ADA,0.08195535372053823,0.08195535372053823,22059465466.775887,-0.004046593180830046,3.7910684693712935e-11,0.037858279767025355,0.01689448770561384,3.26622243750627e-11,0.0446994376695484
2025-07-11,3635,CRO,0.01010422136532497,0.01010422136532497,3016359635.587192,-0.0007333431121004883,6.719495198707643e-10,0.04939777024991697,0.03555678813233572,4.388357892634386e-10,0.0446994376695484
2025-07-11,4642,HBAR,0.10448420941671493,0.10448420941671493,7249344631.635071,-0.0004144587643415298,1.3334199997087339e-10,0.04468996976014679,0.02226151031996261,1.0381753107109938e-10,0.0446994376695484
2025-07-11,5426,SOL,0.042726612024218076,0.042726612024218076,84235739375.37294,-0.0008567205842407324,5.275628405313507e-12,0.037376696535051164,0.0124488131197189,5.952271716723685e-12,0.0446994376695484
2025-07-11,5805,AVAX,0.05888801005057565,0.05888801005057565,8237996991.873298,-0.0036257607048663892,9.042362822532697e-11,0.04139038715212288,0.018394058614349982,1.0068970567949636e-10,0.0446994376695484
2025-07-11,5994,SHIB,0.07215698058900573,0.07215698058900573,7301026952.109135,-0.001612919205411673,1.6682430599802329e-10,0.03520437762966651,0.01600316109743883,1.7123228263391749e-10,0.0446994376695484
