date,id,symbol,name,price_usd,volume_24h,market_cap,percent_change_24h,percent_change_7d
2025-01-02,1027,ETH,Ethereum,3353.1750806628,14196730625.86,403972041829.5103,0.657262811384,-4.046657006379
2025-01-03,1027,ETH,Ethereum,3451.7502553001,22245335522.78,415850328694.18085,2.939756268789,3.630744518319
2025-01-04,1027,ETH,Ethereum,3607.426512592,21877284208.96,434606684062.3198,4.510067234816,8.385966804696
2025-01-05,1027,ETH,Ethereum,3656.4303757134,16059235288.6,440506048628.7611,1.358416116041,7.591239323612
2025-01-06,1027,ETH,Ethereum,3634.9628831278,12829714317.22,437918809796.9112,-0.587116131849,8.512222272895
2025-01-07,1027,ETH,Ethereum,3689.1357177153,23966231463.97,444442434152.1634,1.490327035771,9.937162101105
2025-01-08,1027,ETH,Ethereum,3380.731672163,32237758886.18,407294133744.5165,-8.359791266863,1.48447016146
2025-01-09,1027,ETH,Ethereum,3326.6026300217,34336896388.32,400779626435.55865,-1.601104358176,-0.792456403315
2025-01-10,1027,ETH,Ethereum,3219.1577563342,28826034040.75,387842901336.0881,-3.22986799559,-6.738393040131
2025-01-11,1027,ETH,Ethereum,3266.3218831979,26498994583.71,393548155462.9619,1.465107659633,-9.455622400164
2025-01-12,1027,ETH,Ethereum,3281.930533718,11771000503.53,395435104310.04407,0.477866269101,-10.242225436122
2025-01-13,1027,ETH,Ethereum,3265.5750531519,11648755679.06,393471389539.6822,-0.498349383025,-10.162079830043
2025-01-14,1027,ETH,Ethereum,3136.445028417,39918068681.77,377919819915.6408,-3.954281332788,-14.981576488072
2025-01-15,1027,ETH,Ethereum,3223.893863175,22847940004.57,388462878201.80145,2.788151361358,-4.639167618044
2025-01-16,1027,ETH,Ethereum,3450.5268227883,26020768191.56,415777620991.71625,7.029789727322,3.725247844397
2025-01-17,1027,ETH,Ethereum,3307.6008076219,26392291324.27,398561758451.39343,-4.142150532564,2.747397238101
2025-01-18,1027,ETH,Ethereum,3474.0667714032,28199848813.23,418627106735.755,5.032831150535,6.36020868837
2025-01-19,1027,ETH,Ethereum,3305.1556829547,32423218711.21,398278787453.36273,-4.862056476258,0.707667301244
2025-01-20,1027,ETH,Ethereum,3212.8842715403,57259869504.56,387163379313.2669,-2.791741759403,-1.613522297113
2025-01-21,1027,ETH,Ethereum,3280.3701792016,52369166267.08,395290265921.232,2.100477389089,4.588798766778
2025-01-22,1027,ETH,Ethereum,3327.8592441806,32802452866.04,401009318873.4067,1.447673963142,3.224838825903
2025-01-23,1027,ETH,Ethereum,3241.2395075945,22169366914.58,390575039284.3395,-2.602866594721,-6.065372795006
2025-01-24,1027,ETH,Ethereum,3338.5745914742,32421541402.71,402309147999.9199,3.00302040783,0.936442625753
2025-01-25,1027,ETH,Ethereum,3309.7553392352,25576457764.24,398841465805.089,-0.863220259107,-4.729656710129
2025-01-26,1027,ETH,Ethereum,3317.263058262,13748662566.91,399751505798.7881,0.22683607268,0.366317852131
2025-01-27,1027,ETH,Ethereum,3233.3910080961,14476530301.62,389650499729.1044,-2.528350893277,0.638265646149
2025-01-28,1027,ETH,Ethereum,3181.6843793989,39416457413.65,383426410083.90967,-1.599145558572,-3.008373885009
2025-01-29,1027,ETH,Ethereum,3075.7713133956,20715480836.14,370667474289.7203,-3.328836344957,-7.575077919109
2025-01-30,1027,ETH,Ethereum,3114.3032642914,22731912101.73,375317199525.6973,1.252757340181,-3.916287056408
2025-01-31,1027,ETH,Ethereum,3247.770187685,19956816130.06,391409276247.02167,4.28561100404,-2.719855474282
2025-02-01,1027,ETH,Ethereum,3298.9187035568,30128360097.42,397581064227.30066,1.574881008077,-0.327415007082
2025-02-02,1027,ETH,Ethereum,3116.8988092193,19918809762.48,375650721494.97217,-5.51756228916,-6.040047036477
2025-02-03,1027,ETH,Ethereum,2869.2932234449,42071462182.99,345816076223.90283,-7.943972548677,-11.260555365544
2025-02-04,1027,ETH,Ethereum,2883.2151072122,92458919605.53,347498979713.27856,0.485202545822,-9.380857325739
2025-02-05,1027,ETH,Ethereum,2732.001150348,48386969482.76,329271549008.0726,-5.244629735948,-11.176714001801
2025-02-06,1027,ETH,Ethereum,2788.2940662525,30987262598.24,336062664201.43823,2.060501178683,-10.468126266856
2025-02-07,1027,ETH,Ethereum,2688.0574487108,29557227322.82,323987807060.81805,-3.594908397751,-17.233754441632
2025-02-08,1027,ETH,Ethereum,2623.0346235069,29259291270.93,316156754093.5742,-2.418952215294,-20.488048987725
2025-02-09,1027,ETH,Ethereum,2632.9375000835,17058542810.63,317356640418.2528,0.377535107156,-15.527013828757
2025-02-10,1027,ETH,Ethereum,2628.0109986148,17523212325.65,316769412489.3341,-0.187110460028,-8.409117020825
2025-02-11,1027,ETH,Ethereum,2661.4868406303,18699112304.7,320810850605.8499,1.27380905305,-7.690313012969
2025-02-12,1027,ETH,Ethereum,2602.6285647125,21144327597.57,313722704139.8949,-2.211481004502,-4.735451360225
2025-02-13,1027,ETH,Ethereum,2737.7892110386,26592195883.82,330021518345.7924,5.19323610594,-1.811317386684
2025-02-14,1027,ETH,Ethereum,2676.2041620146,19466508872.69,322604095759.02454,-2.249444507111,-0.440961062863
2025-02-15,1027,ETH,Ethereum,2725.7035703717,17722384299.54,328577459859.5729,1.84961256169,3.914128541986
2025-02-16,1027,ETH,Ethereum,2693.5246168035,10790981624.74,324705097235.57776,-1.180574216433,2.301122480809
2025-02-17,1027,ETH,Ethereum,2662.2272133946,10632641404.66,320938569037.546,-1.161949781847,1.301981414759
