date,id,symbol,name,price_usd,volume_24h,market_cap,percent_change_24h,percent_change_7d
2025-01-02,1437,ZEC,Zcash,58.1038797511,104534100.14,948735763.993988,3.515540538681,-21.039506399111
2025-01-03,1437,ZEC,Zcash,59.3970706506,113133976.72,969851332.5456715,2.225653269651,-13.823340629446
2025-01-04,1437,ZEC,Zcash,60.9253196884,105212159.72,994804993.5513746,2.57293671394,-1.683594093897
2025-01-05,1437,ZEC,Zcash,59.1873389958,101869798.03,966426777.7213916,-2.852641071762,-5.200045590453
2025-01-06,1437,ZEC,Zcash,58.5364096475,104189747.75,955798228.3840259,-1.099778025856,-3.15241308199
2025-01-07,1437,ZEC,Zcash,60.1999956616,106533409.47,982961707.911947,2.841967972032,3.450258681011
2025-01-08,1437,ZEC,Zcash,52.3113170235,118017164.15,854153243.0257195,-13.104118283493,-6.804256769606
2025-01-09,1437,ZEC,Zcash,50.2715176699,110379707.49,820846850.9838256,-3.899346202083,-13.479929593017
2025-01-10,1437,ZEC,Zcash,46.9475309757,107422655.97,766571902.9197165,-6.612067525027,-20.95985465034
2025-01-11,1437,ZEC,Zcash,48.3106337121,99805296.16,788829010.7338507,2.903459901069,-20.705161730462
2025-01-12,1437,ZEC,Zcash,48.4892504374,84127851.64,791745512.6279972,0.369725486064,-18.074961199363
2025-01-13,1437,ZEC,Zcash,47.9927581679,88093260.46,783638653.4198259,-1.02392234359,-18.012125347341
2025-01-14,1437,ZEC,Zcash,48.4142279756,112791462.73,790520525.7095749,0.878194593862,-19.577688596961
2025-01-15,1437,ZEC,Zcash,51.2140157236,94924070.33,836236212.5017307,5.782985426105,-2.09763653891
2025-01-16,1437,ZEC,Zcash,55.3361136118,108088739.9,903542934.6339363,8.048769130776,10.074483876133
2025-01-17,1437,ZEC,Zcash,54.1186484472,103906394.08,883663836.2320561,-2.200127701727,15.274748900444
2025-01-18,1437,ZEC,Zcash,54.9584156973,111713439.31,897375781.5789857,1.551715118885,13.760494272916
2025-01-19,1437,ZEC,Zcash,51.9893344963,109359983.54,848895825.78919,-5.402414103988,7.218268022953
2025-01-20,1437,ZEC,Zcash,46.7595725973,125465496.01,763502868.0032178,-10.05929764192,-2.569524273558
2025-01-21,1437,ZEC,Zcash,47.557572393,129830674.04,776532823.1303585,1.70660198844,-1.769429398011
2025-01-22,1437,ZEC,Zcash,49.0390354666,111509231.55,800722550.3390815,3.115093977768,-4.2468457634
2025-01-23,1437,ZEC,Zcash,48.4216202553,140144170.68,790641228.8397192,-1.259028048491,-12.495444484878
2025-01-24,1437,ZEC,Zcash,48.6155856245,137765356.53,793808347.5147138,0.400575957776,-10.168514884629
2025-01-25,1437,ZEC,Zcash,46.2046455669,136730772.16,754441870.3142167,-4.959191639109,-15.927988497
2025-01-26,1437,ZEC,Zcash,46.4490612738,98465170.8,758432755.6631572,0.528985135366,-10.656557303946
2025-01-27,1437,ZEC,Zcash,44.8477377392,104542340.03,732285914.6346925,-3.447483093686,-4.088649129789
2025-01-28,1437,ZEC,Zcash,43.0639754775,127124089.37,703160165.0393982,-3.977374002861,-9.448751669656
2025-01-29,1437,ZEC,Zcash,41.7306478607,99540582.23,681389233.3806491,-3.09615543388,-14.903204225721
2025-01-30,1437,ZEC,Zcash,42.4116187639,105326825.36,692508309.2988459,1.631824421855,-12.411814102445
2025-01-31,1437,ZEC,Zcash,43.9579899528,91833461.03,717757873.6588662,3.64610272844,-9.580457813772
2025-02-01,1437,ZEC,Zcash,43.1634227479,88782050.65,704783966.7968316,-1.807560367941,-6.582071524835
2025-02-02,1437,ZEC,Zcash,39.2855532381,82531620.37,641465071.2642757,-8.984156637435,-15.422288070431
2025-02-03,1437,ZEC,Zcash,33.1433243555,93945003.72,541173107.3458261,-15.63482852165,-26.098113246409
2025-02-04,1437,ZEC,Zcash,35.4943953521,106869521.27,579562026.4279667,7.093648697811,-17.577522839979
2025-02-05,1437,ZEC,Zcash,32.1924061846,73937508.69,525646259.8912367,-9.302846645946,-22.856682474525
2025-02-06,1437,ZEC,Zcash,32.1233318073,55027582.17,524518394.8953138,-0.214567301621,-24.258180320409
2025-02-07,1437,ZEC,Zcash,29.8313523127,61219291.54,487094337.73836654,-7.134937024357,-32.136677894547
2025-02-08,1437,ZEC,Zcash,30.0834862223,67280325.74,491211247.9749833,0.84519771996,-30.303288508749
2025-02-09,1437,ZEC,Zcash,31.936893601,59750996.81,521474181.7578932,6.160879643467,-18.705755758438
2025-02-10,1437,ZEC,Zcash,32.5245315043,64231229.56,531069291.36955273,1.839997059742,-1.867021076828
2025-02-11,1437,ZEC,Zcash,32.4843053902,66581887.34,530412468.56859565,-0.123679303554,-8.480465527097
2025-02-12,1437,ZEC,Zcash,33.0590384001,63130333.23,539796863.6137966,1.769263658248,2.692039267147
2025-02-13,1437,ZEC,Zcash,32.6865919269,77250564.45,533715457.504524,-1.12661012303,1.75342994616
2025-02-14,1437,ZEC,Zcash,32.4614044058,69043001.73,530038535.13981897,-0.688929337347,8.816402506514
2025-02-15,1437,ZEC,Zcash,33.0281170579,69844921.77,539291971.6272768,1.745804479106,9.788196799342
2025-02-16,1437,ZEC,Zcash,32.5493258758,57758531.33,531474140.53185505,-1.449647223902,1.917632573918
2025-02-17,1437,ZEC,Zcash,34.2165424759,64873934.01,558696901.2423452,5.122123285857,5.202260857815
2025-02-18,1437,ZEC,Zcash,36.4284649696,73442859.3,594813766.1734829,6.46448277247,12.141739009018
2025-02-19,1437,ZEC,Zcash,33.835131511,73400248.59,552469120.5035057,-7.118975396684,2.34759735447
